instance,jobs,machines,hill climber,ffa
abz5,10,10,1253,1234
abz6,10,10,952,943
abz7,20,15,666,672
abz8,20,15,682,676
abz9,20,15,704,696
dmu01,20,15,2705,2623
dmu02,20,15,2905,2736
dmu03,20,15,2830,2797
dmu04,20,15,2745,2700
dmu05,20,15,2856,2819
dmu06,20,20,3356,3315
dmu07,20,20,3241,3094
dmu08,20,20,3263,3254
dmu09,20,20,3234,3192
dmu10,20,20,3115,3056
dmu11,30,15,3657,3684
dmu12,30,15,3580,3683
dmu13,30,15,3730,3861
dmu14,30,15,3397,3479
dmu15,30,15,3364,3431
dmu16,30,20,3820,3986
dmu17,30,20,3932,4115
dmu18,30,20,3996,4134
dmu19,30,20,3879,4038
dmu20,30,20,3848,3975
dmu21,40,15,4380,4471
dmu22,40,15,4725,4774
dmu23,40,15,4668,4720
dmu24,40,15,4648,4670
dmu25,40,15,4164,4192
dmu26,40,20,4714,5103
dmu27,40,20,4848,5301
dmu28,40,20,4692,5073
dmu29,40,20,4703,5014
dmu30,40,20,4779,5108
dmu31,50,15,5640,5891
dmu32,50,15,5927,5927
dmu33,50,15,5728,5728
dmu34,50,15,5385,5486
dmu35,50,15,5635,5651
dmu36,50,20,5621,6168
dmu37,50,20,5879,6315
dmu38,50,20,5713,6313
dmu39,50,20,5747,6166
dmu40,50,20,5577,6089
dmu41,20,15,3437,3365
dmu42,20,15,3620,3506
dmu43,20,15,3673,3532
dmu44,20,15,3779,3590
dmu45,20,15,3478,3420
dmu46,20,20,4345,4214
dmu47,20,20,4224,4151
dmu48,20,20,4007,3972
dmu49,20,20,3959,3858
dmu50,20,20,4171,3884
dmu51,30,15,4442,4581
dmu52,30,15,4661,4692
dmu53,30,15,4720,4716
dmu54,30,15,4658,4669
dmu55,30,15,4524,4610
dmu56,30,20,5297,5531
dmu57,30,20,5043,5298
dmu58,30,20,5105,5201
dmu59,30,20,4986,5184
dmu60,30,20,5162,5372
dmu61,40,15,5564,5891
dmu62,40,15,5488,5954
dmu63,40,15,5649,6071
dmu64,40,15,5589,6044
dmu65,40,15,5570,5967
dmu66,40,20,6105,6723
dmu67,40,20,6144,6897
dmu68,40,20,6168,6940
dmu69,40,20,6147,6894
