instance,j,m,hc,ffa,bks
abz5,10,10,1253,1234,1234
abz6,10,10,952,943,943
abz7,20,15,666,672,656
abz8,20,15,682,676,665
abz9,20,15,704,696,678
dmu01,20,15,2705,2623,2563
dmu02,20,15,2905,2736,2706
dmu03,20,15,2830,2797,2731
dmu04,20,15,2745,2700,2669
dmu05,20,15,2856,2819,2749
dmu06,20,20,3356,3315,3244
dmu07,20,20,3241,3094,3046
dmu08,20,20,3263,3254,3188
dmu09,20,20,3234,3192,3092
dmu10,20,20,3115,3056,2984
dmu11,30,15,3657,3684,3430
dmu12,30,15,3580,3683,3492
dmu13,30,15,3730,3861,3681
dmu14,30,15,3397,3479,3394
dmu15,30,15,3364,3431,3343
dmu16,30,20,3820,3986,3751
dmu17,30,20,3932,4115,3814
dmu18,30,20,3996,4134,3844
dmu19,30,20,3879,4038,3765
dmu20,30,20,3848,3975,3710
dmu21,40,15,4380,4471,4380
dmu22,40,15,4725,4774,4725
dmu23,40,15,4668,4720,4668
dmu24,40,15,4648,4670,4648
dmu25,40,15,4164,4192,4164
dmu26,40,20,4714,5103,4647
dmu27,40,20,4848,5301,4848
dmu28,40,20,4692,5073,4692
dmu29,40,20,4703,5014,4691
dmu30,40,20,4779,5108,4732
dmu31,50,15,5640,5891,5640
dmu32,50,15,5927,5927,5927
dmu33,50,15,5728,5728,5728
dmu34,50,15,5385,5486,5385
dmu35,50,15,5635,5651,5635
dmu36,50,20,5621,6168,5621
dmu37,50,20,5879,6315,5851
dmu38,50,20,5713,6313,5713
dmu39,50,20,5747,6166,5747
dmu40,50,20,5577,6089,5577
dmu41,20,15,3437,3365,3248
dmu42,20,15,3620,3506,3390
dmu43,20,15,3673,3532,3441
dmu44,20,15,3779,3590,3475
dmu45,20,15,3478,3420,3272
dmu46,20,20,4345,4214,4035
dmu47,20,20,4224,4151,3939
dmu48,20,20,4007,3972,3763
dmu49,20,20,3959,3858,3710
dmu50,20,20,4171,3884,3729
dmu51,30,15,4442,4581,4156
dmu52,30,15,4661,4692,4311
dmu53,30,15,4720,4716,4390
dmu54,30,15,4658,4669,4362
dmu55,30,15,4524,4610,4270
dmu56,30,20,5297,5531,4941
dmu57,30,20,5043,5298,4663
dmu58,30,20,5105,5201,4708
dmu59,30,20,4986,5184,4619
dmu60,30,20,5162,5372,4739
dmu61,40,15,5564,5891,5172
dmu62,40,15,5488,5954,5251
dmu63,40,15,5649,6071,5323
dmu64,40,15,5589,6044,5240
dmu65,40,15,5570,5967,5190
dmu66,40,20,6105,6723,5717
dmu67,40,20,6144,6897,5779
dmu68,40,20,6168,6940,5765
dmu69,40,20,6147,6894,5709
dmu70,40,20,6158,7109,5889
dmu71,50,15,6556,7537,6223
dmu72,50,15,6750,7737,6463
dmu73,50,15,6543,7343,6153
dmu74,50,15,6659,7477,6196
dmu75,50,15,6903,7379,6189
dmu76,50,20,7265,8461,6807
dmu77,50,20,7250,8402,6792
dmu78,50,20,7338,8496,6770
dmu79,50,20,7368,8679,6952
dmu80,50,20,7106,8261,6673
ft06,6,6,55,55,55
ft10,10,10,940,930,930
ft20,20,5,1165,1165,1165
la01,10,5,666,666,666
la02,10,5,662,655,655
la03,10,5,597,597,597
la04,10,5,593,590,590
la05,10,5,593,593,593
la06,15,5,926,926,926
la07,15,5,890,890,890
la08,15,5,863,863,863
la09,15,5,951,951,951
la10,15,5,958,958,958
la11,20,5,1222,1222,1222
la12,20,5,1039,1039,1039
la13,20,5,1150,1150,1150
la14,20,5,1292,1292,1292
la15,20,5,1207,1207,1207
la16,10,10,945,945,945
la17,10,10,785,784,784
la18,10,10,853,848,848
la19,10,10,868,842,842
la20,10,10,924,902,902
la21,15,10,1077,1047,1046
la22,15,10,945,935,927
la23,15,10,1032,1032,1032
la24,15,10,991,941,935
la25,15,10,993,983,977
la26,20,10,1218,1218,1218
la27,20,10,1238,1257,1235
la28,20,10,1216,1219,1216
la29,20,10,1194,1185,1152
la30,20,10,1355,1355,1355
la31,30,10,1784,1784,1784
la32,30,10,1850,1850,1850
la33,30,10,1719,1719,1719
la34,30,10,1721,1721,1721
la35,30,10,1888,1888,1888
la36,15,15,1284,1278,1268
la37,15,15,1419,1407,1397
la38,15,15,1257,1207,1196
la39,15,15,1251,1248,1233
la40,15,15,1228,1228,1222
orb01,10,10,1103,1059,1059
