instance,jobs,machines,ppa,ffaSelect,ffaComplete,best known solution
abz5,10,10,1242,1234,1234,1234
abz6,10,10,958,943,943,943
abz7,20,15,739,678,696,656
abz8,20,15,767,703,712,665
abz9,20,15,765,714,737,678
dmu01,20,15,3038,2656,2806,2563
dmu02,20,15,3013,2801,2896,2706
dmu03,20,15,3172,2897,2919,2731
dmu04,20,15,2968,2779,2838,2669
dmu05,20,15,3156,2893,2968,2749
dmu06,20,20,3770,3422,3560,3244
dmu07,20,20,3435,3221,3170,3046
dmu08,20,20,3902,3366,3454,3188
dmu09,20,20,3585,3249,3264,3092
dmu10,20,20,3328,3109,3243,2984
dmu11,30,15,4275,3767,3799,3430
dmu12,30,15,4288,3789,3956,3492
dmu13,30,15,4410,3999,4070,3681
dmu14,30,15,3960,3597,3644,3394
dmu15,30,15,3893,3544,3587,3343
dmu16,30,20,4454,4078,4215,3751
dmu17,30,20,4802,4260,4424,3814
dmu18,30,20,4460,4172,4320,3844
dmu19,30,20,4450,4207,4351,3765
dmu20,30,20,4398,4012,4313,3710
dmu21,40,15,4988,4651,4780,4380
dmu22,40,15,5333,4866,5020,4725
dmu23,40,15,4898,4740,4957,4668
dmu24,40,15,5155,4739,4987,4648
dmu25,40,15,4526,4195,4452,4164
dmu26,40,20,5635,5124,5356,4647
dmu27,40,20,5750,5418,5493,4848
dmu28,40,20,5338,5167,5455,4692
dmu29,40,20,5490,5219,5465,4691
dmu30,40,20,5261,5086,5264,4732
dmu31,50,15,6220,5917,6182,5640
dmu32,50,15,5927,5927,5927,5927
dmu33,50,15,5863,5728,5984,5728
dmu34,50,15,5872,5606,5860,5385
dmu35,50,15,5781,5709,5938,5635
dmu36,50,20,6689,6194,6706,5621
dmu37,50,20,6725,6453,6769,5851
dmu38,50,20,6622,6476,6647,5713
dmu39,50,20,6409,6266,6685,5747
dmu40,50,20,6628,6169,6378,5577
dmu41,20,15,3804,3537,3629,3248
dmu42,20,15,3908,3595,3729,3390
dmu43,20,15,4162,3677,3735,3441
dmu44,20,15,4127,3770,3895,3475
dmu45,20,15,4303,3496,3518,3272
dmu46,20,20,4788,4462,4452,4035
dmu47,20,20,4693,4269,4368,3939
dmu48,20,20,4479,4137,4304,3763
dmu49,20,20,4543,3971,4084,3710
dmu50,20,20,4460,4124,4309,3729
dmu51,30,15,5564,4928,5036,4156
dmu52,30,15,5445,5030,5121,4311
dmu53,30,15,6108,4984,5440,4390
dmu54,30,15,5617,4916,5225,4362
dmu55,30,15,5388,4951,5139,4270
dmu56,30,20,6175,5713,6021,4941
